"number","n_gene","cat"
"GO:0000179",89,"GOs"
"GO:0008170",89,"GOs"
"GO:0016433",89,"GOs"
"GO:1903424",72,"GOs"
"GO:1903425",72,"GOs"
"GO:0004518",71,"GOs"
"GO:0022900",71,"GOs"
"GO:0090305",71,"GOs"
"GO:0005506",68,"GOs"
"GO:0009057",67,"GOs"
"GO:0044265",67,"GOs"
"GO:0004527",66,"GOs"
"GO:0006281",66,"GOs"
"GO:0016796",66,"GOs"
"GO:1901565",62,"GOs"
"GO:0009055",61,"GOs"
"GO:0004540",60,"GOs"
"GO:0047429",60,"GOs"
"GO:0072592",60,"GOs"
"GO:0090501",60,"GOs"
"GO:0006401",58,"GOs"
"GO:0006402",57,"GOs"
"GO:0008408",57,"GOs"
"GO:0034353",57,"GOs"
"GO:0004532",56,"GOs"
"GO:0016896",56,"GOs"
"GO:0090503",56,"GOs"
"GO:0000175",55,"GOs"
"GO:0009267",55,"GOs"
"GO:0042594",55,"GOs"
"GO:0000302",54,"GOs"
"GO:0033890",54,"GOs"
"GO:0003746",53,"GOs"
"GO:0006414",53,"GOs"
"GO:0008135",53,"GOs"
"GO:0043021",53,"GOs"
"GO:0044877",53,"GOs"
"GO:0051184",53,"GOs"
"GO:0000988",52,"GOs"
"GO:0006448",51,"GOs"
"GO:0009894",51,"GOs"
"GO:0009896",51,"GOs"
"GO:0031329",51,"GOs"
"GO:0031331",51,"GOs"
"GO:0043022",51,"GOs"
"GO:0043487",51,"GOs"
"GO:0045900",51,"GOs"
"GO:0050779",51,"GOs"
"GO:0072344",50,"GOs"
"GO:2001124",50,"GOs"
"GO:2001125",50,"GOs"
"GO:0000989",49,"GOs"
"GO:0016989",49,"GOs"
"GO:0030162",49,"GOs"
"GO:0031647",49,"GOs"
"GO:0031648",49,"GOs"
"GO:0032270",49,"GOs"
"GO:0045862",49,"GOs"
"GO:0051247",49,"GOs"
"GO:0051539",49,"GOs"
"GO:0072527",49,"GOs"
"GO:0008270",45,"GOs"
"GO:0071731",44,"GOs"
"GO:0097366",44,"GOs"
"GO:1901698",44,"GOs"
"GO:0072529",43,"GOs"
"GO:0009141",42,"GOs"
"GO:0009144",42,"GOs"
"GO:0009199",42,"GOs"
"GO:0015420",42,"GOs"
"GO:0015889",42,"GOs"
"GO:0035461",42,"GOs"
"GO:0051180",42,"GOs"
"GO:0090482",42,"GOs"
"GO:1901657",42,"GOs"
"GO:1904680",42,"GOs"
"GO:0006220",41,"GOs"
"GO:0009116",41,"GOs"
"GO:0009119",41,"GOs"
"GO:0009218",41,"GOs"
"GO:0006213",40,"GOs"
"GO:0034404",40,"GOs"
"GO:0046131",40,"GOs"
"GO:0072523",40,"GOs"
"GO:1901136",40,"GOs"
"GO:0006195",39,"GOs"
"GO:0006203",39,"GOs"
"GO:0006244",39,"GOs"
"GO:0009143",39,"GOs"
"GO:0009146",39,"GOs"
"GO:0009147",39,"GOs"
"GO:0009149",39,"GOs"
"GO:0009151",39,"GOs"
"GO:0009155",39,"GOs"
"GO:0009164",39,"GOs"
"GO:0009166",39,"GOs"
"GO:0009200",39,"GOs"
"GO:0009203",39,"GOs"
"GO:0009204",39,"GOs"
"GO:0009208",39,"GOs"
"GO:0009210",39,"GOs"
"GO:0009211",39,"GOs"
"GO:0009213",39,"GOs"
"GO:0009215",39,"GOs"
"GO:0009217",39,"GOs"
"GO:0009219",39,"GOs"
"GO:0009222",39,"GOs"
"GO:0009223",39,"GOs"
"GO:0009261",39,"GOs"
"GO:0009262",39,"GOs"
"GO:0009264",39,"GOs"
"GO:0009394",39,"GOs"
"GO:0015980",39,"GOs"
"GO:0019692",39,"GOs"
"GO:0034656",39,"GOs"
"GO:0042454",39,"GOs"
"GO:0045333",39,"GOs"
"GO:0046046",39,"GOs"
"GO:0046047",39,"GOs"
"GO:0046051",39,"GOs"
"GO:0046052",39,"GOs"
"GO:0046060",39,"GOs"
"GO:0046061",39,"GOs"
"GO:0046070",39,"GOs"
"GO:0046075",39,"GOs"
"GO:0046076",39,"GOs"
"GO:0046080",39,"GOs"
"GO:0046081",39,"GOs"
"GO:0046133",39,"GOs"
"GO:0046135",39,"GOs"
"GO:0046386",39,"GOs"
"GO:0046434",39,"GOs"
"GO:1901292",39,"GOs"
"GO:1901658",39,"GOs"
"GO:0006650",37,"GOs"
"GO:0045017",37,"GOs"
"GO:0046474",37,"GOs"
"GO:0046486",37,"GOs"
"GO:0034613",36,"GOs"
"GO:0051641",36,"GOs"
"GO:0070727",36,"GOs"
"GO:0009061",34,"GOs"
"GO:0004367",33,"GOs"
"GO:0006072",33,"GOs"
"GO:0047952",33,"GOs"
"GO:0052646",33,"GOs"
"GO:0043648",31,"GOs"
"GO:0008033",30,"GOs"
"GO:0006400",29,"GOs"
"GO:0016679",29,"GOs"
"GO:0006879",28,"GOs"
"GO:0055072",28,"GOs"
"GO:1990234",28,"GOs"
"GO:0043650",27,"GOs"
"GO:1901605",27,"GOs"
"GO:0009423",25,"GOs"
"GO:0046417",25,"GOs"
"GO:0003866",24,"GOs"
"GO:0008320",24,"GOs"
"GO:0008565",24,"GOs"
"GO:0015450",24,"GOs"
"GO:0071806",24,"GOs"
"GO:0072657",24,"GOs"
"GO:0090563",24,"GOs"
"GO:0016667",23,"GOs"
"GO:0090566",23,"GOs"
"GO:1902815",23,"GOs"
"GO:0033013",22,"GOs"
"GO:0033014",22,"GOs"
"GO:0006457",21,"GOs"
"GO:0015036",21,"GOs"
"GO:0015440",21,"GOs"
"GO:0015462",21,"GOs"
"GO:0016054",21,"GOs"
"GO:0016651",21,"GOs"
"GO:0016866",21,"GOs"
"GO:0033220",21,"GOs"
"GO:0043952",21,"GOs"
"GO:1903825",21,"GOs"
"GO:1905039",21,"GOs"
"GO:0001522",20,"GOs"
"GO:0015035",20,"GOs"
"GO:0046395",20,"GOs"
"GO:0008818",19,"GOs"
"GO:0009235",19,"GOs"
"GO:0009236",19,"GOs"
"GO:0009982",19,"GOs"
"GO:0006857",18,"GOs"
"GO:0031119",18,"GOs"
"GO:0031241",18,"GOs"
"GO:0010564",17,"GOs"
"GO:0035442",17,"GOs"
"GO:0035672",17,"GOs"
"GO:0035673",17,"GOs"
"GO:0042938",17,"GOs"
"GO:0051726",17,"GOs"
"GO:0071916",17,"GOs"
"GO:0032465",16,"GOs"
"GO:0043227",16,"GOs"
"GO:0043231",16,"GOs"
"GO:0045787",16,"GOs"
"GO:0051302",16,"GOs"
"GO:0052689",16,"GOs"
"GO:0065009",16,"GOs"
"GO:0090068",16,"GOs"
"GO:0003333",15,"GOs"
"GO:0006865",15,"GOs"
"GO:0007163",15,"GOs"
"GO:0015804",15,"GOs"
"GO:0016790",15,"GOs"
"GO:0032467",15,"GOs"
"GO:0032507",15,"GOs"
"GO:0045185",15,"GOs"
"GO:0050790",15,"GOs"
"GO:0051235",15,"GOs"
"GO:0051651",15,"GOs"
"GO:0051781",15,"GOs"
"GO:0001000",14,"GOs"
"GO:0004659",14,"GOs"
"GO:0004661",14,"GOs"
"GO:0004662",14,"GOs"
"GO:0005953",14,"GOs"
"GO:0006575",14,"GOs"
"GO:0006760",14,"GOs"
"GO:0006874",14,"GOs"
"GO:0007264",14,"GOs"
"GO:0008318",14,"GOs"
"GO:0009396",14,"GOs"
"GO:0016668",14,"GOs"
"GO:0018342",14,"GOs"
"GO:0018344",14,"GOs"
"GO:0019899",14,"GOs"
"GO:0030010",14,"GOs"
"GO:0042181",14,"GOs"
"GO:0042398",14,"GOs"
"GO:0042558",14,"GOs"
"GO:0042559",14,"GOs"
"GO:0043175",14,"GOs"
"GO:0046653",14,"GOs"
"GO:0046654",14,"GOs"
"GO:0047134",14,"GOs"
"GO:0055074",14,"GOs"
"GO:0070063",14,"GOs"
"GO:0072503",14,"GOs"
"GO:0072507",14,"GOs"
"GO:0072658",14,"GOs"
"GO:0072659",14,"GOs"
"GO:0072660",14,"GOs"
"GO:0097354",14,"GOs"
"GO:1990778",14,"GOs"
"GO:0004156",13,"GOs"
"GO:0008514",13,"GOs"
"GO:0008652",13,"GOs"
"GO:0009063",13,"GOs"
"GO:1901607",13,"GOs"
"GO:0004519",12,"GOs"
"GO:0004536",12,"GOs"
"GO:0031230",12,"GOs"
"GO:0034622",12,"GOs"
"GO:0070925",12,"GOs"
"GO:0071241",12,"GOs"
"GO:0071248",12,"GOs"
"GO:1901606",12,"GOs"
"GO:0004529",11,"GOs"
"GO:0016895",11,"GOs"
"GO:0022618",11,"GOs"
"GO:0071826",11,"GOs"
"GO:0000101",10,"GOs"
"GO:0004033",10,"GOs"
"GO:0004386",10,"GOs"
"GO:0004713",10,"GOs"
"GO:0008693",10,"GOs"
"GO:0018108",10,"GOs"
"GO:0018212",10,"GOs"
"GO:0019171",10,"GOs"
"GO:0032973",10,"GOs"
"GO:0033228",10,"GOs"
"GO:0034198",10,"GOs"
"GO:0038083",10,"GOs"
"GO:0042255",10,"GOs"
"GO:0042883",10,"GOs"
"GO:0043085",10,"GOs"
"GO:0044010",10,"GOs"
"GO:0044093",10,"GOs"
"GO:0047451",10,"GOs"
"GO:0140115",10,"GOs"
"GO:1903712",10,"GOs"
"GO:1990928",10,"GOs"
"GO:0000724",9,"GOs"
"GO:0000725",9,"GOs"
"GO:0003678",9,"GOs"
"GO:0004520",9,"GOs"
"GO:0006302",9,"GOs"
"GO:0006310",9,"GOs"
"GO:0008026",9,"GOs"
"GO:0009898",9,"GOs"
"GO:0010043",9,"GOs"
"GO:0016052",9,"GOs"
"GO:0016814",9,"GOs"
"GO:0019012",9,"GOs"
"GO:0019904",9,"GOs"
"GO:0031240",9,"GOs"
"GO:0031246",9,"GOs"
"GO:0032392",9,"GOs"
"GO:0032508",9,"GOs"
"GO:0042578",9,"GOs"
"GO:0043546",9,"GOs"
"GO:0044423",9,"GOs"
"GO:0051205",9,"GOs"
"GO:0051604",9,"GOs"
"GO:0070035",9,"GOs"
"GO:0071281",9,"GOs"
"GO:0090150",9,"GOs"
"GO:0097163",9,"GOs"
"GO:0098562",9,"GOs"
"GO:0140104",9,"GOs"
"GO:1990063",9,"GOs"
"GO:0000096",8,"GOs"
"GO:0002097",8,"GOs"
"GO:0002100",8,"GOs"
"GO:0003998",8,"GOs"
"GO:0004000",8,"GOs"
"GO:0004003",8,"GOs"
"GO:0006382",8,"GOs"
"GO:0006862",8,"GOs"
"GO:0006886",8,"GOs"
"GO:0006952",8,"GOs"
"GO:0008251",8,"GOs"
"GO:0008854",8,"GOs"
"GO:0009066",8,"GOs"
"GO:0009338",8,"GOs"
"GO:0015215",8,"GOs"
"GO:0015230",8,"GOs"
"GO:0015616",8,"GOs"
"GO:0015931",8,"GOs"
"GO:0015932",8,"GOs"
"GO:0016553",8,"GOs"
"GO:0016791",8,"GOs"
"GO:0016999",8,"GOs"
"GO:0019068",8,"GOs"
"GO:0019239",8,"GOs"
"GO:0035350",8,"GOs"
"GO:0044273",8,"GOs"
"GO:0044355",8,"GOs"
"GO:0044610",8,"GOs"
"GO:0046907",8,"GOs"
"GO:0051182",8,"GOs"
"GO:0051185",8,"GOs"
"GO:0051649",8,"GOs"
"GO:0052717",8,"GOs"
"GO:0072329",8,"GOs"
"GO:0099046",8,"GOs"
"GO:1901661",8,"GOs"
"GO:1901663",8,"GOs"
"GO:1901679",8,"GOs"
"GO:0000003",7,"GOs"
"GO:0000098",7,"GOs"
"GO:0003924",7,"GOs"
"GO:0003954",7,"GOs"
"GO:0005634",7,"GOs"
"GO:0006972",7,"GOs"
"GO:0008234",7,"GOs"
"GO:0008374",7,"GOs"
"GO:0009112",7,"GOs"
"GO:0009651",7,"GOs"
"GO:0016798",7,"GOs"
"GO:0030145",7,"GOs"
"GO:0032879",7,"GOs"
"GO:0042273",7,"GOs"
"GO:0042995",7,"GOs"
"GO:0043418",7,"GOs"
"GO:0044463",7,"GOs"
"GO:0050667",7,"GOs"
"GO:0051049",7,"GOs"
"GO:0061077",7,"GOs"
"GO:0071214",7,"GOs"
"GO:0097428",7,"GOs"
"GO:0098657",7,"GOs"
"GO:0104004",7,"GOs"
"GO:1990230",7,"GOs"
"GO:0000027",6,"GOs"
"GO:0000428",6,"GOs"
"GO:0001882",6,"GOs"
"GO:0001883",6,"GOs"
"GO:0005739",6,"GOs"
"GO:0005996",6,"GOs"
"GO:0006553",6,"GOs"
"GO:0006605",6,"GOs"
"GO:0008929",6,"GOs"
"GO:0009288",6,"GOs"
"GO:0015643",6,"GOs"
"GO:0016779",6,"GOs"
"GO:0016838",6,"GOs"
"GO:0019203",6,"GOs"
"GO:0019242",6,"GOs"
"GO:0019748",6,"GOs"
"GO:0019954",6,"GOs"
"GO:0030880",6,"GOs"
"GO:0032549",6,"GOs"
"GO:0032550",6,"GOs"
"GO:0033883",6,"GOs"
"GO:0042178",6,"GOs"
"GO:0042537",6,"GOs"
"GO:0042538",6,"GOs"
"GO:0044092",6,"GOs"
"GO:0044461",6,"GOs"
"GO:0046184",6,"GOs"
"GO:0046365",6,"GOs"
"GO:0046790",6,"GOs"
"GO:0050308",6,"GOs"
"GO:0061695",6,"GOs"
"GO:0065002",6,"GOs"
"GO:0071470",6,"GOs"
"GO:0071472",6,"GOs"
"GO:0072528",6,"GOs"
"GO:0098003",6,"GOs"
"GO:0098004",6,"GOs"
"GO:0098015",6,"GOs"
"GO:0004170",5,"GOs"
"GO:0004553",5,"GOs"
"GO:0005342",5,"GOs"
"GO:0006206",5,"GOs"
"GO:0006308",5,"GOs"
"GO:0006551",5,"GOs"
"GO:0006733",5,"GOs"
"GO:0006743",5,"GOs"
"GO:0006744",5,"GOs"
"GO:0007231",5,"GOs"
"GO:0008028",5,"GOs"
"GO:0008237",5,"GOs"
"GO:0008713",5,"GOs"
"GO:0008920",5,"GOs"
"GO:0009060",5,"GOs"
"GO:0009081",5,"GOs"
"GO:0009082",5,"GOs"
"GO:0009098",5,"GOs"
"GO:0009123",5,"GOs"
"GO:0009161",5,"GOs"
"GO:0009233",5,"GOs"
"GO:0009234",5,"GOs"
"GO:0009404",5,"GOs"
"GO:0009407",5,"GOs"
"GO:0009850",5,"GOs"
"GO:0009852",5,"GOs"
"GO:0010124",5,"GOs"
"GO:0010563",5,"GOs"
"GO:0010817",5,"GOs"
"GO:0010966",5,"GOs"
"GO:0015293",5,"GOs"
"GO:0015294",5,"GOs"
"GO:0015295",5,"GOs"
"GO:0015530",5,"GOs"
"GO:0015652",5,"GOs"
"GO:0015653",5,"GOs"
"GO:0015733",5,"GOs"
"GO:0015824",5,"GOs"
"GO:0017001",5,"GOs"
"GO:0019220",5,"GOs"
"GO:0019321",5,"GOs"
"GO:0022414",5,"GOs"
"GO:0031090",5,"GOs"
"GO:0034599",5,"GOs"
"GO:0034762",5,"GOs"
"GO:0034763",5,"GOs"
"GO:0034765",5,"GOs"
"GO:0034766",5,"GOs"
"GO:0035524",5,"GOs"
"GO:0042274",5,"GOs"
"GO:0042445",5,"GOs"
"GO:0042447",5,"GOs"
"GO:0042542",5,"GOs"
"GO:0042546",5,"GOs"
"GO:0043086",5,"GOs"
"GO:0043090",5,"GOs"
"GO:0043269",5,"GOs"
"GO:0043271",5,"GOs"
"GO:0044070",5,"GOs"
"GO:0045936",5,"GOs"
"GO:0046113",5,"GOs"
"GO:0046943",5,"GOs"
"GO:0051051",5,"GOs"
"GO:0051174",5,"GOs"
"GO:0070475",5,"GOs"
"GO:0071474",5,"GOs"
"GO:0071475",5,"GOs"
"GO:0071554",5,"GOs"
"GO:0071575",5,"GOs"
"GO:0089718",5,"GOs"
"GO:0098739",5,"GOs"
"GO:1903792",5,"GOs"
"GO:1903795",5,"GOs"
"GO:1903796",5,"GOs"
"GO:1903959",5,"GOs"
"GO:1903960",5,"GOs"
"GO:1905647",5,"GOs"
"GO:2000185",5,"GOs"
"GO:2000186",5,"GOs"
"GO:0000028",4,"GOs"
"GO:0001539",4,"GOs"
"GO:0003852",4,"GOs"
"GO:0003985",4,"GOs"
"GO:0003988",4,"GOs"
"GO:0004856",4,"GOs"
"GO:0005984",4,"GOs"
"GO:0005991",4,"GOs"
"GO:0005997",4,"GOs"
"GO:0005998",4,"GOs"
"GO:0006208",4,"GOs"
"GO:0006554",4,"GOs"
"GO:0006576",4,"GOs"
"GO:0006772",4,"GOs"
"GO:0006928",4,"GOs"
"GO:0008169",4,"GOs"
"GO:0008923",4,"GOs"
"GO:0009068",4,"GOs"
"GO:0009126",4,"GOs"
"GO:0009167",4,"GOs"
"GO:0009228",4,"GOs"
"GO:0009273",4,"GOs"
"GO:0009308",4,"GOs"
"GO:0009361",4,"GOs"
"GO:0009432",4,"GOs"
"GO:0012505",4,"GOs"
"GO:0015976",4,"GOs"
"GO:0016298",4,"GOs"
"GO:0016408",4,"GOs"
"GO:0016453",4,"GOs"
"GO:0016671",4,"GOs"
"GO:0016811",4,"GOs"
"GO:0019200",4,"GOs"
"GO:0019323",4,"GOs"
"GO:0019842",4,"GOs"
"GO:0022904",4,"GOs"
"GO:0030163",4,"GOs"
"GO:0032502",4,"GOs"
"GO:0032505",4,"GOs"
"GO:0034224",4,"GOs"
"GO:0040011",4,"GOs"
"GO:0042440",4,"GOs"
"GO:0042709",4,"GOs"
"GO:0042723",4,"GOs"
"GO:0042724",4,"GOs"
"GO:0042732",4,"GOs"
"GO:0042843",4,"GOs"
"GO:0043620",4,"GOs"
"GO:0044011",4,"GOs"
"GO:0044106",4,"GOs"
"GO:0044257",4,"GOs"
"GO:0045239",4,"GOs"
"GO:0046148",4,"GOs"
"GO:0046835",4,"GOs"
"GO:0046912",4,"GOs"
"GO:0048870",4,"GOs"
"GO:0051119",4,"GOs"
"GO:0051603",4,"GOs"
"GO:0051674",4,"GOs"
"GO:0051703",4,"GOs"
"GO:0071973",4,"GOs"
"GO:0090609",4,"GOs"
"GO:0097588",4,"GOs"
"GO:0098588",4,"GOs"
"GO:0098805",4,"GOs"
"GO:0120127",4,"GOs"
"GO:0000162",3,"GOs"
"GO:0000270",3,"GOs"
"GO:0000910",3,"GOs"
"GO:0000990",3,"GOs"
"GO:0004521",3,"GOs"
"GO:0004820",3,"GOs"
"GO:0005525",3,"GOs"
"GO:0005856",3,"GOs"
"GO:0005938",3,"GOs"
"GO:0005993",3,"GOs"
"GO:0006022",3,"GOs"
"GO:0006023",3,"GOs"
"GO:0006024",3,"GOs"
"GO:0006090",3,"GOs"
"GO:0006260",3,"GOs"
"GO:0006261",3,"GOs"
"GO:0006357",3,"GOs"
"GO:0006525",3,"GOs"
"GO:0006526",3,"GOs"
"GO:0006568",3,"GOs"
"GO:0006586",3,"GOs"
"GO:0006778",3,"GOs"
"GO:0006779",3,"GOs"
"GO:0006783",3,"GOs"
"GO:0006826",3,"GOs"
"GO:0008137",3,"GOs"
"GO:0008175",3,"GOs"
"GO:0008296",3,"GOs"
"GO:0008745",3,"GOs"
"GO:0008788",3,"GOs"
"GO:0009064",3,"GOs"
"GO:0009072",3,"GOs"
"GO:0009073",3,"GOs"
"GO:0009084",3,"GOs"
"GO:0009205",3,"GOs"
"GO:0009252",3,"GOs"
"GO:0009309",3,"GOs"
"GO:0009313",3,"GOs"
"GO:0009424",3,"GOs"
"GO:0009425",3,"GOs"
"GO:0015343",3,"GOs"
"GO:0015620",3,"GOs"
"GO:0015682",3,"GOs"
"GO:0015685",3,"GOs"
"GO:0015927",3,"GOs"
"GO:0015935",3,"GOs"
"GO:0016209",3,"GOs"
"GO:0016655",3,"GOs"
"GO:0016987",3,"GOs"
"GO:0018995",3,"GOs"
"GO:0019028",3,"GOs"
"GO:0022834",3,"GOs"
"GO:0022836",3,"GOs"
"GO:0022885",3,"GOs"
"GO:0030203",3,"GOs"
"GO:0030488",3,"GOs"
"GO:0030964",3,"GOs"
"GO:0031984",3,"GOs"
"GO:0033212",3,"GOs"
"GO:0033214",3,"GOs"
"GO:0033365",3,"GOs"
"GO:0033643",3,"GOs"
"GO:0033644",3,"GOs"
"GO:0034502",3,"GOs"
"GO:0034605",3,"GOs"
"GO:0034614",3,"GOs"
"GO:0036293",3,"GOs"
"GO:0036294",3,"GOs"
"GO:0042168",3,"GOs"
"GO:0042401",3,"GOs"
"GO:0042430",3,"GOs"
"GO:0042435",3,"GOs"
"GO:0042912",3,"GOs"
"GO:0042914",3,"GOs"
"GO:0043093",3,"GOs"
"GO:0043213",3,"GOs"
"GO:0043657",3,"GOs"
"GO:0044036",3,"GOs"
"GO:0044038",3,"GOs"
"GO:0044215",3,"GOs"
"GO:0044216",3,"GOs"
"GO:0044217",3,"GOs"
"GO:0044218",3,"GOs"
"GO:0044275",3,"GOs"
"GO:0044279",3,"GOs"
"GO:0044428",3,"GOs"
"GO:0044430",3,"GOs"
"GO:0044448",3,"GOs"
"GO:0044718",3,"GOs"
"GO:0045203",3,"GOs"
"GO:0046034",3,"GOs"
"GO:0046219",3,"GOs"
"GO:0046352",3,"GOs"
"GO:0046686",3,"GOs"
"GO:0046798",3,"GOs"
"GO:0050136",3,"GOs"
"GO:0051052",3,"GOs"
"GO:0061783",3,"GOs"
"GO:0070301",3,"GOs"
"GO:0070469",3,"GOs"
"GO:0070470",3,"GOs"
"GO:0070482",3,"GOs"
"GO:0070589",3,"GOs"
"GO:0071276",3,"GOs"
"GO:0071453",3,"GOs"
"GO:0072512",3,"GOs"
"GO:0090502",3,"GOs"
"GO:0097216",3,"GOs"
"GO:0098803",3,"GOs"
"GO:0098869",3,"GOs"
"GO:0099568",3,"GOs"
"GO:0120100",3,"GOs"
"GO:0120101",3,"GOs"
"GO:1990748",3,"GOs"
"GO:0000049",2,"GOs"
"GO:0000075",2,"GOs"
"GO:0000122",2,"GOs"
"GO:0000228",2,"GOs"
"GO:0000278",2,"GOs"
"GO:0000322",2,"GOs"
"GO:0000323",2,"GOs"
"GO:0000324",2,"GOs"
"GO:0000329",2,"GOs"
"GO:0000429",2,"GOs"
"GO:0000436",2,"GOs"
"GO:0000785",2,"GOs"
"GO:0000790",2,"GOs"
"GO:0000920",2,"GOs"
"GO:0000977",2,"GOs"
"GO:0000978",2,"GOs"
"GO:0000981",2,"GOs"
"GO:0000982",2,"GOs"
"GO:0001012",2,"GOs"
"GO:0001077",2,"GOs"
"GO:0001228",2,"GOs"
"GO:0001666",2,"GOs"
"GO:0003697",2,"GOs"
"GO:0003725",2,"GOs"
"GO:0003887",2,"GOs"
"GO:0004045",2,"GOs"
"GO:0004048",2,"GOs"
"GO:0004072",2,"GOs"
"GO:0004175",2,"GOs"
"GO:0004314",2,"GOs"
"GO:0004416",2,"GOs"
"GO:0004525",2,"GOs"
"GO:0004791",2,"GOs"
"GO:0004853",2,"GOs"
"GO:0005355",2,"GOs"
"GO:0005694",2,"GOs"
"GO:0005768",2,"GOs"
"GO:0005773",2,"GOs"
"GO:0005774",2,"GOs"
"GO:0005783",2,"GOs"
"GO:0005794",2,"GOs"
"GO:0005802",2,"GOs"
"GO:0006066",2,"GOs"
"GO:0006099",2,"GOs"
"GO:0006101",2,"GOs"
"GO:0006119",2,"GOs"
"GO:0006120",2,"GOs"
"GO:0006144",2,"GOs"
"GO:0006221",2,"GOs"
"GO:0006352",2,"GOs"
"GO:0006366",2,"GOs"
"GO:0006397",2,"GOs"
"GO:0006426",2,"GOs"
"GO:0006432",2,"GOs"
"GO:0006515",2,"GOs"
"GO:0006547",2,"GOs"
"GO:0006720",2,"GOs"
"GO:0006887",2,"GOs"
"GO:0006897",2,"GOs"
"GO:0006898",2,"GOs"
"GO:0007010",2,"GOs"
"GO:0007093",2,"GOs"
"GO:0007346",2,"GOs"
"GO:0008202",2,"GOs"
"GO:0008235",2,"GOs"
"GO:0008238",2,"GOs"
"GO:0008299",2,"GOs"
"GO:0008413",2,"GOs"
"GO:0008425",2,"GOs"
"GO:0008444",2,"GOs"
"GO:0008614",2,"GOs"
"GO:0008615",2,"GOs"
"GO:0008645",2,"GOs"
"GO:0008661",2,"GOs"
"GO:0008810",2,"GOs"
"GO:0008881",2,"GOs"
"GO:0008905",2,"GOs"
"GO:0008928",2,"GOs"
"GO:0009067",2,"GOs"
"GO:0009069",2,"GOs"
"GO:0009070",2,"GOs"
"GO:0009085",2,"GOs"
"GO:0009089",2,"GOs"
"GO:0009090",2,"GOs"
"GO:0009092",2,"GOs"
"GO:0009124",2,"GOs"
"GO:0009156",2,"GOs"
"GO:0009220",2,"GOs"
"GO:0009240",2,"GOs"
"GO:0009328",2,"GOs"
"GO:0009383",2,"GOs"
"GO:0010948",2,"GOs"
"GO:0012506",2,"GOs"
"GO:0015145",2,"GOs"
"GO:0015149",2,"GOs"
"GO:0015629",2,"GOs"
"GO:0015749",2,"GOs"
"GO:0016125",2,"GOs"
"GO:0016151",2,"GOs"
"GO:0016192",2,"GOs"
"GO:0016417",2,"GOs"
"GO:0016419",2,"GOs"
"GO:0016420",2,"GOs"
"GO:0016434",2,"GOs"
"GO:0016744",2,"GOs"
"GO:0016774",2,"GOs"
"GO:0016854",2,"GOs"
"GO:0016855",2,"GOs"
"GO:0016860",2,"GOs"
"GO:0016861",2,"GOs"
"GO:0016879",2,"GOs"
"GO:0016891",2,"GOs"
"GO:0016893",2,"GOs"
"GO:0017110",2,"GOs"
"GO:0017169",2,"GOs"
"GO:0019072",2,"GOs"
"GO:0019073",2,"GOs"
"GO:0019202",2,"GOs"
"GO:0019205",2,"GOs"
"GO:0019288",2,"GOs"
"GO:0019682",2,"GOs"
"GO:0020037",2,"GOs"
"GO:0030030",2,"GOs"
"GO:0030031",2,"GOs"
"GO:0030100",2,"GOs"
"GO:0030117",2,"GOs"
"GO:0030118",2,"GOs"
"GO:0030120",2,"GOs"
"GO:0030125",2,"GOs"
"GO:0030135",2,"GOs"
"GO:0030136",2,"GOs"
"GO:0030276",2,"GOs"
"GO:0030436",2,"GOs"
"GO:0030479",2,"GOs"
"GO:0030580",2,"GOs"
"GO:0030659",2,"GOs"
"GO:0030662",2,"GOs"
"GO:0030665",2,"GOs"
"GO:0030863",2,"GOs"
"GO:0030864",2,"GOs"
"GO:0030976",2,"GOs"
"GO:0031410",2,"GOs"
"GO:0031974",2,"GOs"
"GO:0031981",2,"GOs"
"GO:0031982",2,"GOs"
"GO:0032050",2,"GOs"
"GO:0032296",2,"GOs"
"GO:0033043",2,"GOs"
"GO:0033044",2,"GOs"
"GO:0034061",2,"GOs"
"GO:0035539",2,"GOs"
"GO:0036361",2,"GOs"
"GO:0040008",2,"GOs"
"GO:0042277",2,"GOs"
"GO:0042726",2,"GOs"
"GO:0042773",2,"GOs"
"GO:0042775",2,"GOs"
"GO:0042816",2,"GOs"
"GO:0042819",2,"GOs"
"GO:0043024",2,"GOs"
"GO:0043233",2,"GOs"
"GO:0043333",2,"GOs"
"GO:0043457",2,"GOs"
"GO:0043618",2,"GOs"
"GO:0043934",2,"GOs"
"GO:0044427",2,"GOs"
"GO:0044431",2,"GOs"
"GO:0044433",2,"GOs"
"GO:0044437",2,"GOs"
"GO:0044454",2,"GOs"
"GO:0044715",2,"GOs"
"GO:0044716",2,"GOs"
"GO:0045004",2,"GOs"
"GO:0045005",2,"GOs"
"GO:0045271",2,"GOs"
"GO:0045272",2,"GOs"
"GO:0045454",2,"GOs"
"GO:0045786",2,"GOs"
"GO:0045807",2,"GOs"
"GO:0045930",2,"GOs"
"GO:0045944",2,"GOs"
"GO:0045991",2,"GOs"
"GO:0046451",2,"GOs"
"GO:0046490",2,"GOs"
"GO:0046906",2,"GOs"
"GO:0047661",2,"GOs"
"GO:0048475",2,"GOs"
"GO:0048856",2,"GOs"
"GO:0048869",2,"GOs"
"GO:0051050",2,"GOs"
"GO:0051053",2,"GOs"
"GO:0051538",2,"GOs"
"GO:0052803",2,"GOs"
"GO:0060627",2,"GOs"
"GO:0061418",2,"GOs"
"GO:0061428",2,"GOs"
"GO:0061645",2,"GOs"
