"number","n_gene","cat"
"GO:0006869",12439,"GOs"
"GO:0015711",12397,"GOs"
"GO:1901264",11882,"GOs"
"GO:0006793",11873,"GOs"
"GO:0007154",11768,"GOs"
"GO:0006796",11759,"GOs"
"GO:0015695",11421,"GOs"
"GO:0015696",11421,"GOs"
"GO:0008519",11420,"GOs"
"GO:0015101",11420,"GOs"
"GO:0015199",11420,"GOs"
"GO:0015651",11420,"GOs"
"GO:0015697",11420,"GOs"
"GO:0015838",11420,"GOs"
"GO:0031460",11420,"GOs"
"GO:0072337",11420,"GOs"
"GO:0072349",11420,"GOs"
"GO:0072488",11420,"GOs"
"GO:0005326",11415,"GOs"
"GO:0006836",11415,"GOs"
"GO:0015220",11415,"GOs"
"GO:0015871",11415,"GOs"
"GO:1990281",10913,"GOs"
"GO:0009628",10787,"GOs"
"GO:0016757",10660,"GOs"
"GO:0000984",10546,"GOs"
"GO:0001017",10546,"GOs"
"GO:0042908",10533,"GOs"
"GO:0042910",10533,"GOs"
"GO:0000987",10003,"GOs"
"GO:0000986",10001,"GOs"
"GO:0031975",9918,"GOs"
"GO:0030313",9917,"GOs"
"GO:0033554",9847,"GOs"
"GO:0006974",9775,"GOs"
"GO:0015846",9739,"GOs"
"GO:0015203",9738,"GOs"
"GO:0015606",9738,"GOs"
"GO:0015848",9738,"GOs"
"GO:1902047",9738,"GOs"
"GO:1903711",9738,"GOs"
"GO:0016817",9691,"GOs"
"GO:0016818",9691,"GOs"
"GO:0016462",9683,"GOs"
"GO:0015850",9114,"GOs"
"GO:0042886",8894,"GOs"
"GO:1901564",8593,"GOs"
"GO:0032993",8507,"GOs"
"GO:0016772",8452,"GOs"
"GO:0071840",8403,"GOs"
"GO:1901505",8352,"GOs"
"GO:0016043",8296,"GOs"
"GO:0065008",8253,"GOs"
"GO:0019538",8151,"GOs"
"GO:0099516",7979,"GOs"
"GO:1901135",7953,"GOs"
"GO:0044267",7901,"GOs"
"GO:1901137",7874,"GOs"
"GO:0030312",7837,"GOs"
"GO:0009636",7722,"GOs"
"GO:0035639",7600,"GOs"
"GO:0005524",7598,"GOs"
"GO:0030554",7598,"GOs"
"GO:0032559",7598,"GOs"
"GO:0005975",7561,"GOs"
"GO:0044262",7558,"GOs"
"GO:0016051",7552,"GOs"
"GO:0000271",7551,"GOs"
"GO:0005976",7551,"GOs"
"GO:0034637",7551,"GOs"
"GO:0033692",7550,"GOs"
"GO:0044264",7550,"GOs"
"GO:0009605",7501,"GOs"
"GO:0042597",7343,"GOs"
"GO:0042891",7141,"GOs"
"GO:0061024",6783,"GOs"
"GO:0015920",6772,"GOs"
"GO:0043412",6328,"GOs"
"GO:0016763",6313,"GOs"
"GO:0017111",6266,"GOs"
"GO:0016887",6258,"GOs"
"GO:0042623",6246,"GOs"
"GO:0006464",6205,"GOs"
"GO:0036211",6205,"GOs"
"GO:0001130",6187,"GOs"
"GO:0046983",6168,"GOs"
"GO:0007165",6093,"GOs"
"GO:0023052",6093,"GOs"
"GO:0016310",6083,"GOs"
"GO:0006468",6072,"GOs"
"GO:0046777",6071,"GOs"
"GO:0023014",6061,"GOs"
"GO:0019867",6054,"GOs"
"GO:0009279",6025,"GOs"
"GO:0044462",6025,"GOs"
"GO:0006629",6021,"GOs"
"GO:0044255",6016,"GOs"
"GO:0008610",6015,"GOs"
"GO:0008653",5844,"GOs"
"GO:0009103",5844,"GOs"
"GO:1903509",5844,"GOs"
"GO:0009991",5676,"GOs"
"GO:0031668",5676,"GOs"
"GO:0071496",5676,"GOs"
"GO:0031667",5672,"GOs"
"GO:0031669",5672,"GOs"
"GO:0019001",5621,"GOs"
"GO:0032561",5621,"GOs"
"GO:0007584",5617,"GOs"
"GO:0031670",5617,"GOs"
"GO:0045990",5617,"GOs"
"GO:0030551",5615,"GOs"
"GO:0035438",5615,"GOs"
"GO:0045013",5615,"GOs"
"GO:0061984",5615,"GOs"
"GO:0061985",5615,"GOs"
"GO:0015849",5579,"GOs"
"GO:0046942",5579,"GOs"
"GO:0015718",5564,"GOs"
"GO:0015721",5558,"GOs"
"GO:0042887",5491,"GOs"
"GO:0042895",5469,"GOs"
"GO:0072348",5459,"GOs"
"GO:0015546",5449,"GOs"
"GO:0015906",5449,"GOs"
"GO:0045117",5449,"GOs"
"GO:1901474",5449,"GOs"
"GO:1901682",5449,"GOs"
"GO:1902599",5449,"GOs"
"GO:0015399",5259,"GOs"
"GO:0015405",5259,"GOs"
"GO:0042626",5256,"GOs"
"GO:0043492",5256,"GOs"
"GO:0008289",5202,"GOs"
"GO:0005319",5193,"GOs"
"GO:0034040",5193,"GOs"
"GO:0098656",5180,"GOs"
"GO:1902494",5176,"GOs"
"GO:0008509",5164,"GOs"
"GO:0015103",5151,"GOs"
"GO:0015698",5151,"GOs"
"GO:0098661",5151,"GOs"
"GO:0098797",5131,"GOs"
"GO:0043190",5128,"GOs"
"GO:0098533",5128,"GOs"
"GO:1904949",5128,"GOs"
"GO:0022884",5108,"GOs"
"GO:0015748",5087,"GOs"
"GO:0008559",5084,"GOs"
"GO:0015221",5084,"GOs"
"GO:0015437",5084,"GOs"
"GO:0034204",5084,"GOs"
"GO:0097035",5084,"GOs"
"GO:0006817",5079,"GOs"
"GO:0015114",5079,"GOs"
"GO:0015301",5079,"GOs"
"GO:0015315",5079,"GOs"
"GO:0035435",5079,"GOs"
"GO:0098552",4808,"GOs"
"GO:0009897",4781,"GOs"
"GO:0009986",4781,"GOs"
"GO:0031233",4781,"GOs"
"GO:0031237",4776,"GOs"
"GO:0098567",4776,"GOs"
"GO:0051128",4752,"GOs"
"GO:0043254",4746,"GOs"
"GO:0044087",4746,"GOs"
"GO:2000142",4746,"GOs"
"GO:0051130",4745,"GOs"
"GO:0031334",4743,"GOs"
"GO:0044089",4743,"GOs"
"GO:2000144",4743,"GOs"
"GO:0048583",4730,"GOs"
"GO:2001023",4728,"GOs"
"GO:0009266",4706,"GOs"
"GO:0009408",4705,"GOs"
"GO:0071236",4686,"GOs"
"GO:0140096",4649,"GOs"
"GO:0010608",4552,"GOs"
"GO:0032268",4550,"GOs"
"GO:0051246",4550,"GOs"
"GO:0003723",4546,"GOs"
"GO:0016071",4512,"GOs"
"GO:0016775",4512,"GOs"
"GO:0006417",4501,"GOs"
"GO:0017148",4501,"GOs"
"GO:0032269",4501,"GOs"
"GO:0034248",4501,"GOs"
"GO:0034249",4501,"GOs"
"GO:0051248",4501,"GOs"
"GO:0003729",4453,"GOs"
"GO:0006109",4453,"GOs"
"GO:0043467",4452,"GOs"
"GO:0010675",4451,"GOs"
"GO:0010962",4451,"GOs"
"GO:0032881",4451,"GOs"
"GO:0032885",4451,"GOs"
"GO:0043255",4451,"GOs"
"GO:0005979",4450,"GOs"
"GO:0006446",4450,"GOs"
"GO:0010677",4450,"GOs"
"GO:0010906",4450,"GOs"
"GO:0045719",4450,"GOs"
"GO:0045912",4450,"GOs"
"GO:0045947",4450,"GOs"
"GO:0048027",4450,"GOs"
"GO:0062012",4450,"GOs"
"GO:0070873",4450,"GOs"
"GO:0070874",4450,"GOs"
"GO:0016773",4417,"GOs"
"GO:0035556",4405,"GOs"
"GO:0016301",4398,"GOs"
"GO:0004672",4389,"GOs"
"GO:0018193",4389,"GOs"
"GO:0000160",4380,"GOs"
"GO:0000155",4378,"GOs"
"GO:0004673",4378,"GOs"
"GO:0018106",4378,"GOs"
"GO:0018202",4378,"GOs"
"GO:0051301",4352,"GOs"
"GO:0032153",4349,"GOs"
"GO:0033218",4342,"GOs"
"GO:1901681",4341,"GOs"
"GO:0016758",4340,"GOs"
"GO:0031406",4340,"GOs"
"GO:0043177",4340,"GOs"
"GO:0008658",4339,"GOs"
"GO:0008955",4339,"GOs"
"GO:0033293",4339,"GOs"
"GO:0099621",4339,"GOs"
"GO:0015267",4309,"GOs"
"GO:0022803",4309,"GOs"
"GO:0015288",4306,"GOs"
"GO:0022829",4306,"GOs"
"GO:0044281",4299,"GOs"
"GO:0051704",4233,"GOs"
"GO:0044764",4223,"GOs"
"GO:0030288",3892,"GOs"
"GO:0006082",3889,"GOs"
"GO:0043436",3888,"GOs"
"GO:0019752",3887,"GOs"
"GO:0009311",3878,"GOs"
"GO:0009312",3875,"GOs"
"GO:0009244",3873,"GOs"
"GO:0046401",3873,"GOs"
"GO:0016810",3473,"GOs"
"GO:0016812",3459,"GOs"
"GO:0008800",3455,"GOs"
"GO:0015833",3445,"GOs"
"GO:0001216",3343,"GOs"
"GO:0016311",3307,"GOs"
"GO:0050380",3299,"GOs"
"GO:0001121",3296,"GOs"
"GO:0001131",3296,"GOs"
"GO:0001140",3296,"GOs"
"GO:0015605",3268,"GOs"
"GO:0015119",3260,"GOs"
"GO:0015526",3260,"GOs"
"GO:0015712",3260,"GOs"
"GO:0015760",3260,"GOs"
"GO:0019725",3062,"GOs"
"GO:0042592",3062,"GOs"
"GO:0048878",3060,"GOs"
"GO:0055082",3060,"GOs"
"GO:0006873",3059,"GOs"
"GO:0050801",3059,"GOs"
"GO:0098771",3059,"GOs"
"GO:0030003",3058,"GOs"
"GO:0055080",3058,"GOs"
