"study","auc","error_rate","accuracy","kappa","mtry","feature"
"validation",0.769005847953216,0.205827280276638,0.642857142857143,-0.0687022900763359,31,"subtype"
"validation",0.771929824561404,0.210499986399626,0.714285714285714,0.258278145695364,9,"species"
"validation",0.771929824561403,0.205864492534679,0.642857142857143,-0.0687022900763359,8,"subtype_species"
