"study","auc","error_rate","accuracy","kappa","mtry","group","seed"
"validation",0.717171717171717,0.122078105547854,0.6,0.120879120879121,25,"subtype_species",967
"validation",0.757575757575758,0.201366965340405,0.6,0.120879120879121,8,"subtype_species",968
"validation",0.818181818181818,0.135300972534426,0.6,0.120879120879121,47,"subtype_species",969
"validation",0.818181818181818,0.155148686687419,0.6,0.120879120879121,13,"subtype_species",970
"validation",0.767676767676768,0.150081612336691,0.6,0.139784946236559,660,"subtype_species",971
"validation",0.676767676767677,0.182463694723303,0.55,0,16,"subtype_species",972
"validation",0.752525252525253,0.170171561856971,0.55,0,12,"subtype_species",973
"validation",0.732323232323232,0.132718571114402,0.55,0,38,"subtype_species",974
"validation",0.828282828282828,0.171825190260269,0.55,0,15,"subtype_species",975
"validation",0.717171717171717,0.193604337377414,0.55,0,7,"subtype_species",976
"validation",0.737373737373737,0.130553371741894,0.55,0,26,"subtype_species",977
"validation",0.767676767676768,0.138789274940273,0.6,0.120879120879121,12,"subtype_species",978
"validation",0.803030303030303,0.142807424915443,0.55,0,13,"subtype_species",979
"validation",0.898989898989899,0.147673677508874,0.6,0.120879120879121,12,"subtype_species",980
"validation",0.797979797979798,0.15280406081257,0.6,0.120879120879121,34,"subtype_species",981
"validation",0.742424242424242,0.126434894146848,0.65,0.239130434782609,20,"subtype_species",982
"validation",0.732323232323232,0.124846356114061,0.6,0.120879120879121,17,"subtype_species",983
"validation",0.838383838383838,0.163797780168399,0.6,0.120879120879121,23,"subtype_species",984
"validation",0.757575757575758,0.135506853039923,0.6,0.120879120879121,38,"subtype_species",985
"validation",0.843434343434343,0.164259711041672,0.55,0,19,"subtype_species",986
"validation",0.808080808080808,0.11114717393355,0.7,0.354838709677419,142,"subtype_species",987
"validation",0.787878787878788,0.119419266739321,0.55,0,17,"subtype_species",988
"validation",0.767676767676768,0.106135100760829,0.6,0.120879120879121,33,"subtype_species",989
"validation",0.838383838383838,0.121427305864337,0.65,0.270833333333333,64,"subtype_species",990
"validation",0.752525252525252,0.101325745909096,0.55,0,30,"subtype_species",991
"validation",0.676767676767677,0.121729127847401,0.6,0.120879120879121,45,"subtype_species",992
"validation",0.828282828282828,0.150772040914781,0.55,0,30,"subtype_species",993
"validation",0.757575757575758,0.11971913331091,0.6,0.120879120879121,128,"subtype_species",994
"validation",0.818181818181818,0.119037429997514,0.6,0.120879120879121,23,"subtype_species",995
"validation",0.757575757575758,0.159418760667998,0.55,0.0217391304347826,29,"subtype_species",996
"validation",0.727272727272727,0.162320614796987,0.55,0,16,"subtype_species",997
"validation",0.717171717171717,0.244270766806759,0.6,0.120879120879121,6,"subtype_species",998
"validation",0.626262626262626,0.148802895272984,0.6,0.120879120879121,10,"subtype_species",999
"validation",0.803030303030303,0.14710823975987,0.55,0,14,"subtype_species",1000
"validation",0.717171717171717,0.183204390765857,0.55,0,12,"subtype_species",1001
"validation",0.762626262626263,0.13245794244218,0.55,0.0425531914893617,16,"subtype_species",1002
"validation",0.792929292929293,0.137466498299732,0.55,0,22,"subtype_species",1003
"validation",0.722222222222222,0.139610989562844,0.6,0.120879120879121,19,"subtype_species",1004
"validation",0.909090909090909,0.153899343201726,0.6,0.120879120879121,15,"subtype_species",1005
"validation",0.606060606060606,0.19075066536788,0.6,0.120879120879121,10,"subtype_species",1006
"validation",0.808080808080808,0.159084045948959,0.55,0,18,"subtype_species",1007
"validation",0.767676767676768,0.132181495231276,0.55,0.0217391304347826,50,"subtype_species",1008
"validation",0.782828282828283,0.154022263797676,0.6,0.120879120879121,11,"subtype_species",1009
"validation",0.686868686868687,0.164249432952565,0.55,0,11,"subtype_species",1010
"validation",0.858585858585859,0.155814273036368,0.65,0.239130434782609,54,"subtype_species",1011
"validation",0.782828282828283,0.150286717082243,0.6,0.120879120879121,28,"subtype_species",1012
"validation",0.787878787878788,0.140217131933134,0.5,-0.0989010989010987,19,"subtype_species",1013
"validation",0.797979797979798,0.121222596883231,0.6,0.120879120879121,39,"subtype_species",1014
"validation",0.782828282828283,0.162177710754728,0.55,0,20,"subtype_species",1015
"validation",0.712121212121212,0.148878693960874,0.55,0,10,"subtype_species",1016
"validation",0.797979797979798,0.200133256961242,0.6,0.120879120879121,8,"subtype_species",1017
"validation",0.818181818181818,0.109956265068876,0.7,0.354838709677419,248,"subtype_species",1018
"validation",0.838383838383838,0.148863566102858,0.55,0,18,"subtype_species",1019
"validation",0.651515151515151,0.174157428777761,0.6,0.120879120879121,16,"subtype_species",1020
"validation",0.813131313131313,0.176887059595298,0.55,0,21,"subtype_species",1021
"validation",0.838383838383838,0.126061602844302,0.6,0.120879120879121,33,"subtype_species",1022
"validation",0.737373737373737,0.160508345706825,0.6,0.120879120879121,12,"subtype_species",1023
"validation",0.803030303030303,0.126122367587683,0.6,0.120879120879121,35,"subtype_species",1024
"validation",0.787878787878788,0.144830890833191,0.6,0.120879120879121,15,"subtype_species",1025
"validation",0.737373737373737,0.157722036651855,0.6,0.120879120879121,17,"subtype_species",1026
"validation",0.742424242424242,0.141302515881935,0.55,0,18,"subtype_species",1027
"validation",0.737373737373737,0.161047927966253,0.6,0.120879120879121,14,"subtype_species",1028
"validation",0.813131313131313,0.135060685418068,0.6,0.120879120879121,17,"subtype_species",1029
"validation",0.747474747474748,0.132643155681829,0.55,0,24,"subtype_species",1030
"validation",0.782828282828283,0.105661625459146,0.6,0.120879120879121,70,"subtype_species",1031
"validation",0.823232323232323,0.162467399465443,0.55,0,12,"subtype_species",1032
"validation",0.585858585858586,0.158592682679023,0.55,0,14,"subtype_species",1033
"validation",0.843434343434343,0.130376546617547,0.55,0,17,"subtype_species",1034
"validation",0.737373737373737,0.128580046391804,0.65,0.239130434782609,144,"subtype_species",1035
"validation",0.707070707070707,0.171997090657542,0.55,0,9,"subtype_species",1036
"validation",0.893939393939394,0.102702041716263,0.55,0,305,"subtype_species",1037
"validation",0.818181818181818,0.144958633655356,0.6,0.120879120879121,24,"subtype_species",1038
"validation",0.883838383838384,0.115322513899353,0.6,0.120879120879121,85,"subtype_species",1039
"validation",0.636363636363636,0.131677901564506,0.6,0.120879120879121,13,"subtype_species",1040
"validation",0.777777777777778,0.176431206460657,0.6,0.120879120879121,9,"subtype_species",1041
"validation",0.717171717171717,0.190502703138289,0.55,0,14,"subtype_species",1042
"validation",0.782828282828283,0.169053374502589,0.6,0.120879120879121,21,"subtype_species",1043
"validation",0.671717171717172,0.172387584715332,0.55,0,12,"subtype_species",1044
"validation",0.808080808080808,0.16991614673753,0.6,0.120879120879121,11,"subtype_species",1045
"validation",0.838383838383838,0.122043154581565,0.6,0.120879120879121,36,"subtype_species",1046
"validation",0.803030303030303,0.168029741554966,0.6,0.120879120879121,23,"subtype_species",1047
"validation",0.818181818181818,0.104120314178569,0.6,0.139784946236559,30,"subtype_species",1048
"validation",0.681818181818182,0.18641798158066,0.55,0,12,"subtype_species",1049
"validation",0.762626262626263,0.169133884520378,0.55,0,11,"subtype_species",1050
